Email,Total words,Unique words,First word,Last Word,isSpam
933,3003,928,if,NUMBER,false
934,101,71,on,device,false
935,3043,941,hardware,NUMBER,false
936,248,159,on,URL,false
937,850,396,politicians,NUMBER,false
938,266,148,,magnan,false
939,243,134,this,NUMBER,false
940,1076,474,on,URL,false
941,6337,1736,i,NUMBER,false
942,2099,837,,URL,false
943,183,111,,doers,false
944,232,139,,doers,false
945,106,73,,URL,false
946,220,139,,doers,false
947,433,158,on,tech,false
948,151,100,,doers,false
949,278,166,,URL,false
950,164,98,,URL,false
951,205,128,,doers,false
952,117,87,,URL,false
953,208,123,,URL,false
954,324,179,you,URL,false
955,435,228,,URL,false
956,157,101,,URL,false
957,1148,362,i,URL,false
958,69,45,,URL,false
959,205,126,,URL,false
960,126,92,,doers,false
961,267,153,,URL,false
962,435,219,,doers,false
963,247,147,,doers,false
964,427,221,,URL,false
965,194,122,,doers,false
966,402,217,well,URL,false
967,285,160,,doers,false
968,347,187,,URL,false
969,186,103,,URL,false
970,130,81,hi,URL,false
971,238,131,if,URL,false
972,639,270,NUMBER,URL,false
973,134,82,i,URL,false
974,93,73,,wine,false
975,91,65,is,URL,false
976,128,88,,URL,false
977,70,51,,URL,false
978,256,156,,URL,false
979,109,77,on,URL,false
980,218,136,,URL,false
981,143,89,,URL,false
982,83,64,,URL,false
983,122,74,,URL,false
984,66,48,,URL,false
985,154,95,i,kre,false
986,225,128,done,URL,false
987,83,61,,berlage,false
988,160,120,on,URL,false
989,216,137,,URL,false
990,79,66,,URL,false
991,360,195,on,URL,false
992,162,103,,NUMBER,false
993,69,56,,URL,false
994,126,84,,URL,false
995,142,98,there,URL,false
996,137,94,,modified,false
997,154,94,thanks,URL,false
998,239,137,on,URL,false
999,185,108,,URL,false
1000,214,124,hmm,URL,false
1001,295,153,,URL,false
1002,144,97,on,valdis,false
1003,276,150,,URL,false
1004,271,148,,URL,false
1005,113,80,,URL,false
1006,170,117,exmh,URL,false
1007,185,114,,URL,false
1008,249,150,on,URL,false
1009,178,103,on,URL,false
1010,118,77,,URL,false
1011,382,189,,URL,false
1012,137,84,,URL,false
1013,265,160,on,URL,false
1014,130,84,,URL,false
1015,100,66,,URL,false
1016,202,125,,URL,false
1017,385,220,,URL,false
1018,179,104,,URL,false
1019,275,115,i,URL,false
1020,130,97,,URL,false
1021,193,130,on,URL,false
1022,222,117,on,URL,false
1023,247,144,,URL,false
1024,307,180,,URL,false
1025,51,43,i,URL,false
1026,164,85,i,URL,false
1027,50,42,is,URL,false
1028,82,63,i,doers,false
1029,166,81,i,URL,false
1030,443,208,both,URL,false
1031,76,41,halloechen,URL,false
1032,37,31,halloechen,URL,false
1033,126,100,,URL,false
1034,172,124,on,URL,false
1035,255,173,once,URL,false
1036,169,107,on,URL,false
1037,143,101,once,URL,false
1038,234,152,on,URL,false
1039,216,153,once,URL,false
1040,322,167,thanks,URL,false
1041,176,123,on,URL,false
1042,445,190,ok,URL,false
1043,147,110,once,URL,false
1044,707,255,matthias,tresspassing,false
1045,604,263,once,URL,false
1046,245,136,matthias,URL,false
1047,190,126,once,URL,false
1048,56,46,hi,URL,false
1049,623,251,i,URL,false
1050,48,42,hello,URL,false
1051,62,52,i,URL,false
